ID,ProviderId,nameZh,ddesc,departureZh,destinationZh,gxcode,RouteType,MasterRouteName,MasterRouteNo,MasterRouteDesc,routeMapImageUrl,stopAddrUrl,op_type
112,2,112N,中壢  -  忠貞,中壢,忠貞,112,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/112/map/1208/image,http://ebus.tycg.gov.tw/cms/api/route/112/stop-address.pdf,7
3260,1,112S,中壢  -  忠貞,中壢,忠貞,3260,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3260/map/1758/image,http://ebus.tycg.gov.tw/cms/api/route/3260/stop-address.pdf,7
3180,1,113,桃園  -  幸福社區,桃園,幸福社區,3180,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3180/map/2036/image,http://ebus.tycg.gov.tw/cms/api/route/3180/stop-address.pdf,
3520,1,115A,中壢  -  平東路,中壢,平東路,3520,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3520/map/1622/image,http://ebus.tycg.gov.tw/cms/api/route/3520/stop-address.pdf,
3510,1,115B,中壢  -  平東路,中壢,平東路,3510,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3510/map/1623/image,http://ebus.tycg.gov.tw/cms/api/route/3510/stop-address.pdf,
3291,1,116,中壢  -  自立新村,中壢,自立新村,3291,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3291/map/1525/image,http://ebus.tycg.gov.tw/cms/api/route/3291/stop-address.pdf,
3400,1,117,桃園  -  寶慶路,桃園,寶慶路口,3400,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3400/map/1932/image,http://ebus.tycg.gov.tw/cms/api/route/3400/stop-address.pdf,7
3401,1,117A,桃園  -  寶慶路(繞駛中埔一街及南平路),桃園,寶慶路口,3401,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3401/map/1244/image,http://ebus.tycg.gov.tw/cms/api/route/3401/stop-address.pdf,
3370,1,118,中壢  -  中壢高中,中壢,中壢高中,3370,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3370/map/1639/image,http://ebus.tycg.gov.tw/cms/api/route/3370/stop-address.pdf,
3380,1,119,中壢  -  聯新國際醫院,中壢,聯新國際醫院,3380,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3380/map/1005/image,http://ebus.tycg.gov.tw/cms/api/route/3380/stop-address.pdf,
3350,1,120,捷運老街溪站 - 太子鎮,捷運老街溪站,太子鎮,3350,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3350/map/1978/image,http://ebus.tycg.gov.tw/cms/api/route/3350/stop-address.pdf,7
3350,2,120,捷運老街溪站 - 太子鎮,捷運老街溪站,太子鎮,3350,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3350/map/1978/image,http://ebus.tycg.gov.tw/cms/api/route/3350/stop-address.pdf,7
122,2,122,中壢  -  鄉界,中壢,鄉界,122,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/122/map/1205/image,http://ebus.tycg.gov.tw/cms/api/route/122/stop-address.pdf,7
3090,1,125,桃園  -  三聖宮,桃園,三聖宮,3090,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3090/map/1440/image,http://ebus.tycg.gov.tw/cms/api/route/3090/stop-address.pdf,
1291,6,129,桃園  -  大竹,大竹,桃園,1291,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/1290/map/1917/image,,7
130,2,130,桃園  -  榮民之家,桃園,榮民之家,130,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/130/map/2128/image,http://ebus.tycg.gov.tw/cms/api/route/130/stop-address.pdf,7
3220,1,132,中壢  -  中央大學,中壢,中央大學,3220,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3220/map/921/image,http://ebus.tycg.gov.tw/cms/api/route/3220/stop-address.pdf,7
133,2,133,中壢  -  中央大學,中壢,中央大學,133,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/133/map/1429/image,http://ebus.tycg.gov.tw/cms/api/route/133/stop-address.pdf,7
3450,1,135,中壢  -  內壢高中,中壢,內壢高中,3450,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3450/map/1526/image,http://ebus.tycg.gov.tw/cms/api/route/3450/stop-address.pdf,
3110,1,137,桃園  -  銘傳大學,桃園,銘傳大學,3110,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3110/map/1870/image,http://ebus.tycg.gov.tw/cms/api/route/3110/stop-address.pdf,7
3120,1,139,桃園  -  新庄廟(繞駛大興路),桃園巨蛋,中興龍安街口,3120,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3120/map/2012/image,http://ebus.tycg.gov.tw/cms/api/route/3120/stop-address.pdf,
3191,1,151,桃園  -  同安街,桃園,同安街,3191,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3191/map/1728/image,http://ebus.tycg.gov.tw/cms/api/route/3191/stop-address.pdf,7
3192,1,152,桃園  -  同安街,桃園,同安街,3192,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3192/map/1139/image,http://ebus.tycg.gov.tw/cms/api/route/3192/stop-address.pdf,7
3282,1,155,中壢  -  元智大學,中壢,元智大學,3282,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3282/map/2054/image,http://ebus.tycg.gov.tw/cms/api/route/3282/stop-address.pdf,
3281,1,156,中壢  -  內壢家樂福,中壢,內壢家樂福,3281,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3281/map/1641/image,http://ebus.tycg.gov.tw/cms/api/route/3281/stop-address.pdf,
3440,1,157,桃園  -  八德  -  新興高中,桃園,新興高中,3440,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3440/map/1957/image,http://ebus.tycg.gov.tw/cms/api/route/3440/stop-address.pdf,
3283,2,167,中壢 - 篤行六村 - 內壢 - 中壢,中壢,中壢,3283,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3283/map/1653/image,http://ebus.tycg.gov.tw/cms/api/route/3283/stop-address.pdf,7
3284,2,167A,中壢 - 內壢 - 篤行六村 - 中壢,中壢,中壢,3283,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3284/map/1654/image,http://ebus.tycg.gov.tw/cms/api/route/3284/stop-address.pdf,7
168,4,168,桃園後火車站  -  內壢復興宮,桃園後火車站,內壢復興宮,168,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/168/map/2041/image,http://ebus.tycg.gov.tw/cms/api/route/168/stop-address.pdf,6
1681,4,168A,桃園後火車站  -  內壢復興宮(經龜山工業區),桃園後火車站,內壢復興宮,1681,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/1681/map/2042/image,http://ebus.tycg.gov.tw/cms/api/route/1681/stop-address.pdf,
3300,1,169,中壢  -  華勛社區,中壢,榮民南仁慈路口,3300,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3300/map/1700/image,http://ebus.tycg.gov.tw/cms/api/route/3300/stop-address.pdf,7
3301,1,169A,中壢  -  華勛社區(延駛內壢火車站),中壢,甲蟲公園,3301,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3301/map/1701/image,http://ebus.tycg.gov.tw/cms/api/route/3301/stop-address.pdf,7
170,2,170,中壢  -  高鐵桃園站,中壢,高鐵桃園站,170,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/170/map/2101/image,http://ebus.tycg.gov.tw/cms/api/route/170/stop-address.pdf,7
3330,1,171,中壢  -  捷運老街溪站,中壢,捷運老街溪站,3330,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3330/map/1280/image,http://ebus.tycg.gov.tw/cms/api/route/3330/stop-address.pdf,7
3221,1,172,中央大學  -  高鐵桃園站(經領航南路),中央大學,高鐵桃園站,3221,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3221/map/2103/image,http://ebus.tycg.gov.tw/cms/api/route/3221/stop-address.pdf,
3221,2,172,中央大學  -  高鐵桃園站(經領航南路),中央大學,高鐵桃園站,3221,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3221/map/2103/image,http://ebus.tycg.gov.tw/cms/api/route/3221/stop-address.pdf,
1730,1,173,中央大學  -  高鐵桃園站,中央大學,高鐵桃園站,3222,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/1730/map/2104/image,http://ebus.tycg.gov.tw/cms/api/route/1730/stop-address.pdf,
1730,2,173,中央大學  -  高鐵桃園站,中央大學,高鐵桃園站,3222,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/1730/map/2104/image,http://ebus.tycg.gov.tw/cms/api/route/1730/stop-address.pdf,
18110,2,181A,中原大學–高鐵桃園站,中原大學,高鐵桃園站,18110,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/18110/map/2127/image,,
188,1,188,桃園後站  -  中正藝文特區(經桃園監理站),桃園後站,南平同安街口,188,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/188/map/1934/image,http://ebus.tycg.gov.tw/cms/api/route/188/stop-address.pdf,6
189,1,189,桃園後站  -  經國轉運站(經武陵、龍安街、藝文特區),桃園後站,經國轉運站,189,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/189/map/1935/image,http://ebus.tycg.gov.tw/cms/api/route/189/stop-address.pdf,6
